EZABPQM;Tranche_Debut;Tranche_Fin;Mnémo;Territoire;Date_Attribution
01056;0105600000;0105699999;FRTE;Métropole;01/01/2017
01057;0105700000;0105799999;FRTE;Métropole;01/01/2017
01058;0105800000;0105899999;FRTE;Métropole;01/01/2017
01059;0105900000;0105999999;FRTE;Métropole;01/01/2017
01241;0124100000;0124199999;FRTE;Métropole;01/01/2017
01242;0124200000;0124299999;FRTE;Métropole;01/01/2017
0130;0130000000;0130999999;FRTE;Métropole;01/01/2017
0134;0134000000;0134999999;FRTE;Métropole;01/01/2017
0139;0139000000;0139999999;FRTE;Métropole;01/01/2017
0140;0140000000;0140999999;FRTE;Métropole;01/01/2017
0141;0141000000;0141999999;FRTE;Métropole;01/01/2017
0142;0142000000;0142999999;FRTE;Métropole;01/01/2017
0143;0143000000;0143999999;FRTE;Métropole;01/01/2017
0144;0144000000;0144999999;FRTE;Métropole;01/01/2017
0145;0145000000;0145999999;FRTE;Métropole;01/01/2017
0146;0146000000;0146999999;FRTE;Métropole;01/01/2017
0147;0147000000;0147999999;FRTE;Métropole;01/01/2017
01480;0148000000;0148099999;FRTE;Métropole;01/01/2017
014810;0148100000;0148109999;FRTE;Métropole;01/01/2017
014811;0148110000;0148119999;FRTE;Métropole;01/01/2017
014812;0148120000;0148129999;FRTE;Métropole;01/01/2017
014813;0148130000;0148139999;FRTE;Métropole;01/01/2017
014814;0148140000;0148149999;FRTE;Métropole;01/01/2017
014815;0148150000;0148159999;FRTE;Métropole;01/01/2017
014816;0148160000;0148169999;HUBT;Métropole;27/07/2001
014817;0148170000;0148179999;FRTE;Métropole;01/01/2017
014818;0148180000;0148189999;FRTE;Métropole;01/01/2017
014819;0148190000;0148199999;FRTE;Métropole;01/01/2017
01482;0148200000;0148299999;FRTE;Métropole;01/01/2017
01483;0148300000;0148399999;FRTE;Métropole;01/01/2017
01484;0148400000;0148499999;FRTE;Métropole;01/01/2017
01485;0148500000;0148599999;FRTE;Métropole;01/01/2017
014860;0148600000;0148609999;FRTE;Métropole;01/01/2017
014861;0148610000;0148619999;FRTE;Métropole;01/01/2017
014862;0148620000;0148629999;HUBT;Métropole;27/07/2001
014863;0148630000;0148639999;FRTE;Métropole;01/01/2017
014864;0148640000;0148649999;HUBT;Métropole;27/07/2001
014865;0148650000;0148659999;FRTE;Métropole;01/01/2017
014866;0148660000;0148669999;FRTE;Métropole;01/01/2017
014867;0148670000;0148679999;FRTE;Métropole;01/01/2017
014868;0148680000;0148689999;FRTE;Métropole;01/01/2017
014869;0148690000;0148699999;FRTE;Métropole;01/01/2017
01487;0148700000;0148799999;FRTE;Métropole;01/01/2017
01488;0148800000;0148899999;FRTE;Métropole;01/01/2017
01489;0148900000;0148999999;FRTE;Métropole;01/01/2017
01490;0149000000;0149099999;FRTE;Métropole;01/01/2017
01491;0149100000;0149199999;FRTE;Métropole;01/01/2017
01492;0149200000;0149299999;FRTE;Métropole;01/01/2017
01493;0149300000;0149399999;FRTE;Métropole;01/01/2017
01494;0149400000;0149499999;FRTE;Métropole;01/01/2017
01495;0149500000;0149599999;FRTE;Métropole;01/01/2017
01496;0149600000;0149699999;FRTE;Métropole;01/01/2017
014970;0149700000;0149709999;FRTE;Métropole;01/01/2017
014971;0149710000;0149719999;FRTE;Métropole;01/01/2017
014972;0149720000;0149729999;FRTE;Métropole;01/01/2017
014973;0149730000;0149739999;FRTE;Métropole;01/01/2017
014974;0149740000;0149749999;FRTE;Métropole;01/01/2017
014975;0149750000;0149759999;HUBT;Métropole;27/07/2001
014976;0149760000;0149769999;FRTE;Métropole;01/01/2017
014977;0149770000;0149779999;FRTE;Métropole;01/01/2017
014978;0149780000;0149789999;FRTE;Métropole;01/01/2017
014979;0149790000;0149799999;FRTE;Métropole;01/01/2017
01498;0149800000;0149899999;FRTE;Métropole;01/01/2017
01499;0149900000;0149999999;FRTE;Métropole;01/01/2017
0150;0150000000;0150999999;FRTE;Métropole;01/01/2017
0153;0153000000;0153999999;FRTE;Métropole;01/01/2017
0155;0155000000;0155999999;FRTE;Métropole;01/01/2017
0156;0156000000;0156999999;FRTE;Métropole;01/01/2017
0157;0157000000;0157999999;FRTE;Métropole;01/01/2017
0158;0158000000;0158999999;FRTE;Métropole;01/01/2017
015900;0159000000;0159009999;RCFR;Métropole;07/09/2022
0159010;0159010000;0159010999;REDM;Métropole;26/09/2022
0159019;0159019000;0159019999;REDM;Métropole;26/09/2022
0159020;0159020000;0159020999;PURE;Métropole;19/02/2025
0159021;0159021000;0159021999;PURE;Métropole;19/02/2025
015903;0159030000;0159039999;MSIO;Métropole;05/10/2022
015904;0159040000;0159049999;MSIO;Métropole;23/12/2024
0159050;0159050000;0159050999;ELOQ;Métropole;19/10/2022
015906;0159060000;0159069999;GGCF;Métropole;02/10/2025
0159070;0159070000;0159070999;TLCZ;Métropole;19/10/2022
0159071;0159071000;0159071999;FRSP;Métropole;16/01/2026
0159072;0159072000;0159072999;FRSP;Métropole;16/01/2026
0159073;0159073000;0159073999;FRSP;Métropole;16/01/2026
0159074;0159074000;0159074999;FRSP;Métropole;16/01/2026
0159075;0159075000;0159075999;FRSP;Métropole;16/01/2026
0159076;0159076000;0159076999;FRSP;Métropole;16/01/2026
0159077;0159077000;0159077999;TLCZ;Métropole;19/10/2022
0159078;0159078000;0159078999;ABEI;Métropole;29/04/2025
0159079;0159079000;0159079999;TLCZ;Métropole;19/10/2022
0159080;0159080000;0159080999;NFFR;Métropole;24/02/2025
0159081;0159081000;0159081999;NFFR;Métropole;02/04/2025
0159110;0159110000;0159110999;STEL;Métropole;09/12/2022
0159120;0159120000;0159120999;GTTI;Métropole;17/11/2022
015913;0159130000;0159139999;TWIL;Métropole;09/12/2022
015914;0159140000;0159149999;VOIC;Métropole;09/12/2022
0159150;0159150000;0159150999;ABCL;Métropole;12/12/2022
0159151;0159151000;0159151999;ABCL;Métropole;12/12/2022
0159152;0159152000;0159152999;ABCL;Métropole;12/12/2022
