EZABPQM;Mnémo;Date_Attribution
010000;FRTE;01/07/2018
010001;COLT;01/01/2018
010002;FRTE;01/07/2018
010003;UPCF;01/05/2014
010004;MXVP;15/01/2025
010005;SEWA;01/01/2019
010006;SFR0;08/12/2011
010007;SFR0;08/12/2011
010008;BJTP;25/01/2007
010009;TWIL;06/11/2023
010010;PAOP;14/04/2011
010011;SEWA;15/05/2024
010012;SYNE;11/03/2014
010013;SFR0;04/09/2023
010014;RNKL;13/02/2025
010015;ODIG;01/02/2019
010016;IPXT;21/07/2011
010017;SVCM;06/02/2025
010018;VOXB;27/05/2008
010019;LIXT;06/10/2025
010020;OPLO;18/05/2026
010021;OVH;04/09/2008
010022;IPDI;29/09/2008
010023;IPDI;29/09/2008
010024;IPDI;29/09/2008
010025;ALPL;20/11/2008
010026;JAG;31/03/2011
010027;RHOV;14/12/2022
010028;SFR0;08/12/2011
010029;440H;12/03/2013
010030;SFR0;08/12/2011
010031;VIAD;23/07/2013
010032;ABPL;17/02/2025
010033;INNE;15/09/2015
010034;SEWA;03/09/2009
010035;PAOP;16/03/2017
010036;VOIM;19/04/2018
010037;OPEN;04/02/2010
010038;DGLP;01/10/2020
010039;FRDI;04/08/2020
010040;SFR0;08/12/2011
010041;GTLB;02/04/2024
010042;NICE;02/04/2024
010043;SFR0;08/12/2011
010044;SFR0;08/12/2011
010045;SFR0;08/12/2011
010046;SFR0;08/12/2011
010047;SFR0;08/12/2011
010048;SFR0;08/12/2011
010049;SFR0;08/12/2011
010050;HUBT;27/07/2001
010051;SFR0;08/12/2011
010052;HUBT;27/07/2001
010053;SFR0;08/12/2011
010054;SFR0;08/12/2011
010055;SFR0;08/12/2011
010056;SFR0;08/12/2011
010057;SFR0;08/12/2011
010058;SFR0;08/12/2011
010059;TLST;16/11/2017
010060;SFR0;08/12/2011
010061;SFR0;08/12/2011
010062;AXLY;08/04/2010
010063;AXLY;08/04/2010
010064;AXLY;08/04/2010
010065;NXFR;06/07/2018
010066;COMP;16/07/1999
010067;ABCL;12/12/2022
010068;COMP;17/03/2011
010069;CELY;14/04/2011
010070;SFR0;08/12/2011
010071;SFR0;08/12/2011
010072;FREE;08/01/2009
010073;SFR0;08/12/2011
010074;SFR0;08/12/2011
010075;SFR0;08/12/2011
010076;SFR0;08/12/2011
